######################
#	    Europe       #
######################
LIP = "countries/Brunswick.txt"  #Lippe
ANH = "countries/Brunswick.txt"  #Anhalt
WLD = "countries/Brunswick.txt"  #Waldeck
FRS = "countries/Brunswick.txt"  #Fürstenland
MSA = "countries/Lucca.txt" #Massa and Carrara
ABK = "countries/Abkhazia.txt"
ARA = "countries/Aragon.txt"
AND = "countries/Andorra.txt"
BAD = "countries/Baden.txt"
BAV = "countries/Bavaria.txt"
BOS = "countries/Bosnia.txt"
BRS = "countries/Brunswick.txt"
BRT = "countries/Brittany.txt"
BND = "countries/Brandenburg.txt"
COS = "countries/Hetmanate.txt"
CRI = "countries/Crimea.txt"
CRS = "countries/Corsica.txt"
CRT = "countries/Crete.txt"
CSC = "countries/Circassia.txt"
DNO = "countries/DenmarkNorway.txt"
ECM = "countries/Patriarchy.txt"
ESF = "countries/EastFrisia.txt"
FRK = "countries/Frankfurt.txt"
GAL = "countries/GaliciaLodomeria.txt"
GEN = "countries/Genoa.txt"
HAM = "countries/Hamburg.txt"
HAN = "countries/Hannover.txt"
HES = "countries/Hesse.txt"
HOH = "countries/Hohenzollern.txt"
KNI = "countries/Knights.txt"
KOL = "countries/Cologne.txt"
LCC = "countries/Lucca.txt"
LIE = "countries/Liege.txt"
LUB = "countries/Lubeck.txt"
MCK = "countries/Mecklemburg.txt"
MDN = "countries/Modena.txt"
MOL = "countries/Moldova.txt"
MLO = "countries/Milan.txt"
MNC = "countries/Monaco.txt"
MNZ = "countries/Mainz.txt"
MTA = "countries/Mantua.txt"
NAP = "countries/Naples.txt"
NSS = "countries/Nassau.txt"
NRM = "countries/Nuremburg.txt"
PAP = "countries/Rome.txt"
PIO = "countries/Piombino.txt"
PJK = "countries/Poljica.txt"
PLI = "countries/PolandLithuania.txt"
PRU = "countries/Prussia.txt"
PRM = "countries/Parma.txt"
PON = "countries/Pontic.txt"
RGS = "countries/Ragusa.txt"
THR = "countries/Thrace.txt"
TRK = "countries/Tarki.txt"
TRN = "countries/Transylvania.txt"
SAX = "countries/Saxony.txt"
SCO = "countries/Scotland.txt"
SOR = "countries/Sorbia.txt"
SVA = "countries/Svaneti.txt"
SXG = "countries/Gotha.txt"
SIE = "countries/Sardinia.txt"
SNM = "countries/SanMarino.txt"
SLZ = "countries/Salzburg.txt"
TRI = "countries/Trier.txt"
IME = "countries/Imereti.txt"
TNT = "countries/Trent.txt"
TSC = "countries/Tuscany.txt"
ULM = "countries/Ulm.txt"
VAD = "countries/Vaduz.txt"
VEN = "countries/Venice.txt"
WAL = "countries/Wallachia.txt"
WEI = "countries/Weimar.txt"
WLE = "countries/Wales.txt"
WRZ = "countries/Wurzburg.txt"
WUU = "countries/Wurtenburg.txt"
FLA = "countries/Flanders.txt"
LEA = "countries/Switzerland.txt"
STD = "countries/Switzerland.txt"
BSL = "countries/Switzerland.txt"
NCH = "countries/Switzerland.txt"
GNV = "countries/Switzerland.txt"
SLV = "countries/Croatia.txt"

######################
#	Africa      #
######################
ALG = "countries/Algeria.txt"
AVR = "countries/Avars.txt"
AWS = "countries/Aussa.txt"
BRN = "countries/Bornu.txt"
BRI = "countries/Bagirmi.txt"
DRF = "countries/Darfur.txt"
FUJ = "countries/FutaJallon.txt"
GLI = "countries/Geledi.txt"
HAU = "countries/Hausa.txt"
KWA = "countries/Kwararafa.txt"
MJR = "countries/Majeerteen.txt"
MHR = "countries/Medri.txt"
MRC = "countries/Morocco.txt"
MTW = "countries/Mthethwa.txt"
NDW = "countries/Ndwandwe.txt"
SHW = "countries/Shewa.txt"
SLL = "countries/Shilluk.txt"
SNN = "countries/Sennar.txt"
SZL = "countries/Swaziland.txt"
TUG = "countries/Tuggart.txt"
TUN = "countries/Tunisia.txt"
TQL = "countries/Teqali.txt"
XHO = "countries/Xhosa.txt"
WDI = "countries/Wadai.txt"
ZIM = "countries/Zimbabwe.txt"
ZUL = "countries/Zulu.txt"

######################
#	Asia      #
######################
ACH = "countries/Aceh.txt"
ARC = "countries/Arcot.txt"
BAU = "countries/Berau.txt"
BAL = "countries/Bali.txt"
BHR = "countries/Bahrain.txt"
BNY = "countries/BaniYas.txt"
BRM = "countries/Burma.txt"
BRU = "countries/Brunei.txt"
BUK = "countries/Bukhara.txt"
DAI = "countries/DaiViet.txt"
HDJ = "countries/Hejaz.txt"
HYD = "countries/Hyderabad.txt"
JAB = "countries/Shammar.txt"
JHR = "countries/Johor.txt"
JMB = "countries/Jambi.txt"
KAN = "countries/Kandy.txt"
KAU = "countries/Kutai.txt"
KHI = "countries/Khiva.txt"
KIS = "countries/KazakhKishi.txt"
KOK = "countries/Kokand.txt"
KUT = "countries/Kutch.txt"
KUW = "countries/Kuwait.txt"
MGD = "countries/Maguindanao.txt"
MOG = "countries/Mughals.txt"
MTH = "countries/Maratha.txt"
MSK = "countries/Muscat.txt"
MYS = "countries/Mysore.txt"
ORT = "countries/KazakhOrta.txt"
PLM = "countries/Palembang.txt"
PTK = "countries/Pontianak.txt"
PTT = "countries/Pattani.txt"
PUN = "countries/Punjab.txt"
QAJ = "countries/Qajar.txt"
SBA = "countries/Sambas.txt"
SKA = "countries/Siak.txt"
SPH = "countries/PhilippinesSpain.txt"
SRK = "countries/Surakarta.txt"
SUL = "countries/Sulu.txt"
TRV = "countries/Travancore.txt"
YGK = "countries/Yogyakarta.txt"
ZAI = "countries/Zaidi.txt"
ZAN = "countries/Zand.txt"
BLC = "countries/Hyderabad.txt" #Balochistan
KAL = "countries/Hyderabad.txt" #Kalat
SND = "countries/Hyderabad.txt" #Sindh
AWD = "countries/Hyderabad.txt" #Awadh
BWP = "countries/Hyderabad.txt" #Bahawalpur
######################
#     North America  #
######################
ACW = "countries/Achumawi.txt"
ALA = "countries/Alaska.txt"
ARP = "countries/Arapaho.txt"
ASS = "countries/Assinaboin.txt"
ATK = "countries/Atakapa.txt"
BBW = "countries/GrosVentre.txt"
BFT = "countries/Blackfeet.txt"
BNC = "countries/Bannock.txt"
CDD = "countries/Caddo.txt"
CHE = "countries/Cherokee.txt"
CHK = "countries/Choctaw.txt"
CHR = "countries/Chiricahua.txt"
CHM = "countries/Chumash.txt"
CHY = "countries/Cheyenne.txt"
CKS = "countries/Chickasaw.txt"
CMC = "countries/Comanche.txt"
CNT = "countries/Connecticut.txt"
CRK = "countries/Creek.txt"
CRW = "countries/Crows.txt"
DLW = "countries/Delaware.txt"
FOX = "countries/Fox.txt"
GRG = "countries/GeorgiaState.txt"
HUD = "countries/HudsonBay.txt"
HUR = "countries/Huron.txt"
IOW = "countries/Iowa.txt"
ILL = "countries/Illinois.txt"
JAM = "countries/Jamaica.txt"
KRK = "countries/Karankawa.txt"
KNS = "countries/Kansas.txt"
KIO = "countries/Kiowa.txt"
KWI = "countries/Kawaiisu.txt"
KYA = "countries/Kumeyaay.txt"
LNP = "countries/Lenape.txt"
LOU = "countries/Louisiana.txt"
MAA = "countries/Maine.txt"
MAD = "countries/Maidu.txt"
MIA = "countries/Miami.txt"
MIS = "countries/Missouri.txt"
MRY = "countries/Maryland.txt"
MSS = "countries/Massachusetts.txt"
NCR = "countries/EuropeanColonies.txt"
NSC = "countries/Nova_Scotia.txt"
NWH = "countries/NewHampshire.txt"
NWJ = "countries/NewJersey.txt"
NWY = "countries/EuropeanColonies.txt"
NVH = "countries/Navaho.txt"
OTT = "countries/Ottawa.txt"
OSG = "countries/Osage.txt"
PAI = "countries/Paiute.txt"
PNS = "countries/Pennsylvania.txt"
PUE = "countries/IndianTribes.txt"
PMO = "countries/IndianTribes.txt"
PWT = "countries/IndianTribes.txt"
PWN = "countries/IndianTribes.txt"
QUE = "countries/EuropeanColonies.txt"
QPW = "countries/IndianTribes.txt"
RHD = "countries/EuropeanColonies.txt"
SAK = "countries/IndianTribes.txt"
TEX = "countries/Texas.txt"
SCR = "countries/EuropeanColonies.txt"
SHO = "countries/IndianTribes.txt"
SHS = "countries/IndianTribes.txt"
SML = "countries/IndianTribes.txt"
SNT = "countries/IndianTribes.txt"
SRR = "countries/IndianTribes.txt"
SLN = "countries/IndianTribes.txt"
SWN = "countries/IndianTribes.txt"
TTN = "countries/IndianTribes.txt"
TLW = "countries/IndianTribes.txt"
TNK = "countries/IndianTribes.txt"
UTE = "countries/IndianTribes.txt"
VRG = "countries/EuropeanColonies.txt"
VMT = "countries/EuropeanColonies.txt"
WCT = "countries/IndianTribes.txt"
WSH = "countries/IndianTribes.txt"
WNT = "countries/IndianTribes.txt"
WVR = "countries/WestVirginia.txt"
YOK = "countries/IndianTribes.txt"
YKR = "countries/IndianTribes.txt"
YKT = "countries/IndianTribes.txt"
YRK = "countries/IndianTribes.txt"
YVP = "countries/IndianTribes.txt"
HDA = "countries/IndianTribes.txt"

######################
#    South America   #
######################
MSQ = "countries/Mosquito.txt"
PRR = "countries/PuertoRico.txt"
VCP = "countries/Peru.txt"
VNZ = "countries/EuropeanColonies.txt"

######################
#	Polynesia    #
######################
HWI = "countries/Hawaii.txt"
HW1 = "countries/Maui.txt"
HW2 = "countries/Oahu.txt"
HW3 = "countries/Kauai.txt"
NRF = "countries/Norfolk.txt"
######################
#	Japan        #
######################

AIN = "countries/Ainu.txt"
AZU = "countries/Aizu.txt"
CHO = "countries/Chosokabe.txt"
